baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_id,name,biotype,description,rank,is_interesting,patient_1,patient_2,patient_3,patient_6,patient_7,patient_8
1099.100036,-3.432562078,0.449782532,-7.631603799,2.32E-14,5.00E-12,ENSG00000138080,EMILIN1,protein_coding,elastin microfibril interfacer 1 [Source:HGNC Symbol;Acc:HGNC:19880],82,no,-1.460928699,-3.470751419,-4.132566303,-4.488260776,-4.363629757,-2.510208203
43.78620081,-3.422453488,0.609728468,-5.613078064,1.99E-08,1.05E-06,ENSG00000142512,SIGLEC10,protein_coding,sialic acid binding Ig like lectin 10 [Source:HGNC Symbol;Acc:HGNC:15620],83,no,-5.325114844,-4.500484962,-3.661400536,-2.305945795,-2.800820399,-2.569266059
1004.244566,-3.420542204,0.53373319,-6.408711827,1.47E-10,1.51E-08,ENSG00000115963,RND3,protein_coding,Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671],84,no,-1.860575383,-3.999442522,-1.410486694,-4.398907506,-3.051435545,-5.982779638
190.6261929,-3.384665273,0.490875667,-6.895157981,5.38E-12,7.26E-10,ENSG00000167693,NXN,protein_coding,nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008],85,no,-1.442766432,-3.316713835,-3.638369568,-3.595374295,-5.27330817,-3.153804424
1220.195761,-3.381319848,0.430172402,-7.860383024,3.83E-15,1.02E-12,ENSG00000010610,CD4,protein_coding,CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678],86,no,-2.209686025,-5.449757881,-3.584531773,-3.518793493,-3.051143753,-2.725945639
389.1521919,-3.376063058,0.413592101,-8.162784172,3.27E-16,9.77E-14,ENSG00000117009,KMO,protein_coding,kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381],87,no,-2.144542598,-2.692289064,-4.033085893,-3.442705693,-3.287819646,-4.679904719
263.8398374,-3.375099329,0.597525054,-5.648464959,1.62E-08,8.73E-07,ENSG00000122679,RAMP3,protein_coding,receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:HGNC:9845],88,no,-0.512200396,-2.627088879,-5.240184462,-4.658231853,-5.050915749,-1.98256572
250.1443838,-3.368689068,0.574260143,-5.866137691,4.46E-09,2.97E-07,ENSG00000166819,PLIN1,protein_coding,perilipin 1 [Source:HGNC Symbol;Acc:HGNC:9076],89,no,-4.471956232,-1.603989538,-4.149264349,-3.335398544,-0.92951856,-5.618647893
2890.248268,-3.360147797,0.598484394,-5.614428427,1.97E-08,1.04E-06,ENSG00000112299,VNN1,protein_coding,vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705],90,no,0.301396092,-5.280648246,-3.494356177,-4.683976342,-1.531553871,-4.457365549
448.9105789,-3.35615546,0.609634145,-5.505196009,3.69E-08,1.82E-06,ENSG00000174992,ZG16,protein_coding,zymogen granule protein 16 [Source:HGNC Symbol;Acc:HGNC:30961],91,no,-5.255852181,0.384252491,-2.579292068,-4.430663033,-5.018340145,-2.455308046
